Activity,Key,Value,Experience,Activity_type,Audience,Time,Season
Zipline,aerialway,zip_line,"family-friendly, adventure","outdoor, sports","families, groups, couples, solo","morning, afternoon, evening, night","summer, spring, autumn"
Arts Centre,amenity,arts_centre,"cultural, educational, relaxation","entertainment, indoor","families, groups, couples, solo","morning, afternoon, evening, night","summer, spring, autumn, winter"
Bar,amenity,pub,relaxation,"dining, sports, indoor, entertainment","families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Barbecue,amenity,bbq,family-friendly,"indoor, dining","couples, families, groups, solo","evening, night, afternoon","summer, spring, winter, autumn"
Boat Rental,amenity,boat_rental ,"adventure, family-friendly, romantic","outdoor, sports, entertainment","couples, families, groups, solo","morning, afternoon, evening, night","summer, spring, autumn"
Cycle Rental,amenity,bicycle_rental,"adventure, family-friendly, romantic","outdoor, sports, entertainment","couples, families, groups, solo","morning, afternoon, evening, night","summer, spring, autumn"
Beer garden,amenity,biergarten,"romantic, cultural, relaxation","outdoor, dining","couples, groups, solo","afternoon, evening, night","summer, spring, autumn"
Brothel,amenity,brothel,relaxation,"indoor, entertainment","solo, groups","evening, night","summer, spring, autumn, winter"
Cafe,amenity,cafe,"romantic, family-friendly, relaxation","indoor, dining","families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Internet Cafe,amenity,internet_cafe,"family-friendly, relaxation","indoor, entertainment","families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Gambling,amenity,gambling,relaxation,"entertainment, indoor","groups, solo, couples","evening, night, afternoon, morning","summer, winter, spring, autumn"
Casino,amenity,casino,relaxation,"entertainment, indoor","groups, solo, couples","evening, night, afternoon, morning","summer, winter, spring, autumn"
Cinema,amenity,cinema,"romantic, family-friendly, relaxation","entertainment, indoor","couples, families, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Community Centre,amenity,community_centre,"family-friendly, adventure, educational","indoor, outdoor, sports, entertainment","families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Martial Arts,amenity,dojo,"cultural, educational","indoor, sports","couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Food,amenity,fast_food,"family-friendly, relaxation","indoor, dining","families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Food,amenity,food_court,"family-friendly, relaxation","indoor, dining","families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Food,amenity,restaurant,"romantic, family-friendly, relaxation, cultural","indoor, dining","families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Fitness Centre,amenity,gym,,"indoor, sports","couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Ice Cream,amenity,ice_cream,"romantic, family-friendly, relaxation","indoor, dining","families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Karaoke,amenity,karaoke_box,"family-friendly, relaxation",entertainment,"families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Music Venue,amenity,music_venue,"family-friendly, relaxation, cultural","entertainment, indoor","families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Library,amenity,library,"family-friendly, relaxation, educational",indoor,"families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Marketplace,amenity,marketplace,"family-friendly, cultural","outdoor, indoor, shopping","families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Mosque,amenity,place_of_worship,"cultural, educational",indoor,"solo, groups, families","evening, night, afternoon, morning","summer, winter, spring, autumn"
Church,amenity,place_of_worship,"cultural, educational",indoor,"solo, groups, families","evening, night, afternoon, morning","summer, winter, spring, autumn"
Place of Worship,amenity,place_of_worship,"cultural, educational",indoor,"solo, groups, families","evening, night, afternoon, morning","summer, winter, spring, autumn"
Planetarium,amenity,planetarium,"family-friendly, educational",indoor,"families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Pub,amenity,pub,relaxation,"dining, sports, indoor, entertainment","couples, groups, solo","evening, night","summer, winter, spring, autumn"
